Living Arrangements,Health,Education,Deprivation,Digital Exclusion,Transport Access,Car Access,Public Transport Access
0.62796044,0.14374533,0.000171321,0,0.2822336,0.46071976,0,0.9709319
0.6644084,0.16349083,0.14114487,0.07918022,0.43773484,0.49087715,0.028478969,1
0.73421943,0.16081148,0.20991473,0.06411056,0.52844334,0.4429144,0,0.9369552
1,0.16116326,0.23536453,0.16529246,0.63211083,0.56327444,0.30590224,0.8607271
0.6821539,0.069925815,0.19172002,0.089944236,0.6450691,0.31332794,0.06699458,0.62268054
0.8313475,0.030488018,0.3217928,0.2858496,0.8653623,0.60415274,0.42302364,0.8216107
0.67239916,0.13537121,0.16684751,0.046888113,0.5802771,0.4680707,0.20922954,0.77572954
0.6090359,0.07622655,0.2661101,0.124389134,0.61915255,0.32494694,0.11543094,0.5964158
0.818631,0.095749065,0.45403627,0.15022282,0.8653623,0.53520215,0.2974867,0.81557435
0.3996927,0.06975411,0.34732497,0.13515314,0.54140234,0.51062596,0.24503864,0.82112545
0.7971434,0.3798834,0.5610025,0.41071233,0.9949463,0.7174886,0.6954923,0.76541233
0.51398194,0.03985849,0.1048782,0.023207247,0.8005703,0.40409136,0.010545108,0.852327
0.71656775,0.30629683,0.6339655,0.32460007,0.8783206,0.75881046,0.54839605,0.99136007
0.48081258,0.19501352,0.39998257,0.21265416,0.5673188,0.73830515,0.5300435,0.9705838
0.39261866,0.33981162,0.3979086,0.18897331,0.26927537,0.46725503,0.21034335,0.77305925
0.34396333,0.12467097,0.3554991,0.14807001,0.5025269,0.5553877,0.38715592,0.7644237
0.7427625,0.26668683,0.4345443,0.19758455,0.7487366,0.80589294,0.6829071,0.946693
0.5811808,0.7064926,0.66581446,0.41071233,0.6709863,0.85018,0.79084337,0.92326623
0.27731335,0.34017596,0.42774355,0.14161158,0.3081509,0.4738915,0.1613223,0.8347442
0.40002477,0.5425643,0.40903938,0.21480697,0.51548505,0.6655874,0.55019087,0.8116747
0.7019512,0.26469854,0.35024986,0.24064067,0.6839446,0.6305433,0.56975514,0.7252382
0.5147879,0.20838091,0.33792686,0.3202945,0.5802771,0.6898137,0.5936669,0.81442773
0.6445492,0.12878895,0.1754947,0.08779143,0.5802771,0.69727093,0.46610996,0.95621485
0.36776423,0.13212107,0.5567931,0.15452841,0.4118176,0.69646734,0.64287937,0.7779121
0.55183446,0.39464548,0.5907637,0.35689217,0.9042378,0.7825439,0.723845,0.86119986
0.56800884,0.25695512,0.5060353,0.18897331,0.5025269,0.6252067,0.4321512,0.85265887
1,0.36724067,0.7454369,0.41717073,1,0.7566432,0.7941792,0.7414412
0.30897522,0.27969575,0.34873003,0.28369677,0.5025269,0.44971132,0.38715592,0.5627694
0.42005756,0.17913824,0.64758426,0.15237561,0.4766096,0.8357969,0.738902,0.94776154
0.51631147,0.74750674,0.5944678,0.36765623,0.83944505,0.7743421,0.67910236,0.89029163
0.38435045,0.53416693,0.9093653,0.60446495,0.96902984,0.74426425,0.78099734,0.73100126
0.28565922,0.37762496,0.7156248,0.35258657,0.5673188,0.8937893,0.87168455,0.9256416
0.30975848,0.5055043,0.588876,0.4021011,0.5932353,0.6372609,0.427009,0.8808032
0.26133174,0.7598366,0.96360224,0.77238375,0.5025269,0.6907722,0.81350785,0.5964158
0.25336576,0.23215334,0.75323206,0.6561322,0.8264868,0.8677252,0.90217924,0.8454107
0.12429509,0.50875396,0.6852261,0.3181417,0.45069307,0.3904118,0.5002523,0.33651614
0.31796485,1,0.84971654,0.8391208,0.5025269,0.74010414,0.8015498,0.70251036
0.95386904,0.2353304,0.4898829,0.05119373,0.96902984,0.59414417,0.42831555,0.7972202
0.62990063,0.26408124,0.5944678,0.30953044,0.7228201,0.6663013,0.506715,0.8565128
0.41188,0.1676381,0.5128846,0.06841618,0.3081509,0.56275874,0.28816622,0.877479
0.6255965,0.6144075,0.901101,0.4731437,0.85240406,0.7126088,0.78156316,0.6700297
0.59809756,0.22868831,0.45948863,0.16313966,0.5673188,0.6674377,0.57313657,0.79225963
0.5545219,0.28331047,0.45012537,0.20189014,0.33406734,0.45766255,0.3215157,0.64358234
0.27704537,0.2597714,0.39154646,0.053346537,0.35998464,0.37086043,0.28437713,0.51508296
0.78203857,0.1444389,0.49229735,0.07272179,0.81352854,0.6341208,0.54839605,0.7534241
1,0.5811219,0.13351922,0.13515314,0.33406734,0.63950616,0.38715592,0.92494065
0.44478083,0.42517996,0.24674927,0.20619577,0.29519182,0.5404714,0.43638617,0.6867298
0.5869195,0,0.009498506,0,0.45069307,0.3630975,0,0.78464663
0.6025358,0.22868831,0,0.19327894,0.52844334,0.61643916,0.31299907,0.95508057
0.62263465,0.09840578,0.045858104,0.14376439,0.52844334,0.6715288,0.53270596,0.840497
0.3271635,0.015434817,0,0.027512861,0.20448339,0.47208676,0.003570839,0.9890518
0.88957435,0.22619836,0.075485654,0.13515314,0.37294286,0.5815324,0.26250935,0.9389604
0.21855044,0.33840635,0.73428977,0.38918427,0.46365136,0.60862046,0.7180285,0.53513134
0.6151541,0.9719395,0.694506,0.7077996,1,0.78193235,0.8173448,0.766533
0.49742272,0.5279512,0.7986769,0.647521,0.73577833,0.69871753,0.8265352,0.5985501
1,0.96541965,0.84517443,0.6561322,1,0.76883423,0.8909693,0.66791433
0.2117918,0.7769019,0.7501305,0.935997,0.5543606,0.7761051,0.8182929,0.7544652
0.018434498,0.92657673,0.8569082,0.6496739,0.15264964,0.45572305,0.88930374,0.07209325
0.6877865,0.62968636,0.91321844,0.7853006,0.5025269,0.65899986,0.7219211,0.62737393
0.55295867,0.2532007,0.5535663,0.12869474,0.6969029,0.6162281,0.4515339,0.816143
0,1,0.5368775,0.56140876,0.11377412,0.43389118,0.9197369,0
0.50413734,0.63741934,0.70759803,0.7788422,0.70986104,0.82723826,0.95978063,0.7105511
0.3081814,0.8096202,0.65126276,0.8757185,0.51548505,0.3334751,0.72812045,0
0.19452187,0.7446221,0.8718476,1,0.32110912,0.69473016,0.9227802,0.49469626
0.36704847,0.8790331,0.8987099,0.9295386,0.7746531,0.7322999,1,0.48916805
0.06874767,0.43732017,0.45481518,0.55710316,0.048982143,0.35414904,0.767571,0
