Education,Car Access,Deprivation,Living Arrangements,Digital Exclusion,Health,Public Transport Access
0.36760926,0.41346154,0.066,0.15407407,0.914,0.12596402,17.994858
0.52835053,0.6507937,0.184,0.15582822,0.936,0.11340206,30.927835
0.41489363,0.6052632,0.059,0.13644524,0.945,0.08421053,14.184397
0.3872549,0.37931034,0.073,0.05942623,0.976,0.073891625,4.901961
0.369863,0.5555556,0.102,0.08899676,0.963,0.09090909,4.56621
0.4117647,0.46551725,0.118,0.0991453,0.963,0.1171875,27.450981
0.58158994,0.7184466,0.348,0.145686,0.937,0.17991632,41.841003
0.459854,0.50609756,0.135,0.16924664,0.929,0.1290909,23.722628
0.5498155,0.64835167,0.244,0.1006865,0.954,0.16236162,36.900368
0.5323887,0.7198276,0.267,0.1962775,0.922,0.15353535,28.34008
0.5,0.5647059,0.145,0.12762763,0.939,0.12863071,37.5
0.47854784,0.71428573,0.244,0.12941177,0.931,0.17275748,62.70627
0.22674419,0.1,0.053,0.03875969,0.988,0.07017544,5.8139534
0.374269,0.3529412,0.089,0.069863014,0.97,0.14705883,81.871346
0.5633188,0.6097561,0.236,0.13666667,0.939,0.23580787,69.868996
0.23404256,0.20779221,0.063,0.1360424,0.944,0.06666667,3.0395138
0.275,0.5084746,0.095,0.19376026,0.95,0.11878453,13.888889
0.42352942,0.6944444,0.296,0.097297296,0.927,0.15568863,52.941177
0.5232558,0.7631579,0.305,0.1317919,0.93,0.24324325,27.131783
0.22857143,0.30952382,0.034,0.20785597,0.936,0.059734512,24.175825
0.18412699,0.26436782,0.03,0.14569536,0.962,0.092063494,6.3492064
0.25438598,0.2857143,0.068,0.15268457,0.95,0.096491225,2.9239767
0.28865978,0.24731183,0.061,0.16607143,0.943,0.09589041,10.3092785
0.30134356,0.4514563,0.108,0.22612514,0.935,0.09596929,19.193857
0.27959183,0.30872482,0.073,0.15608741,0.934,0.075510204,46.938778
0.34441805,0.5214286,0.164,0.18469657,0.917,0.06666667,23.752968
0.26719576,0.39370078,0.053,0.15421687,0.939,0.09018568,29.10053
0.31666666,0.33766234,0.089,0.14206642,0.936,0.07692308,50
0.4103261,0.44642857,0.101,0.18225807,0.917,0.08130081,24.456522
0.35714287,0.41509435,0.094,0.10192308,0.942,0.0754717,23.809525
0.46363637,0.68421054,0.222,0.17813765,0.907,0.1450151,30.303032
0.23631124,0.275,0.042,0.123839006,0.922,0.068767905,20.17291
0.5,0.5963303,0.182,0.16268657,0.916,0.12851405,3.968254
0.38338658,0.58536583,0.13,0.11747851,0.94,0.103559874,6.389776
0.38235295,0.3943662,0.119,0.10056657,0.963,0.1360294,29.411764
0.36121672,0.5,0.1,0.091236494,0.945,0.08778626,30.418251
0.4006116,0.6766917,0.123,0.16770963,0.926,0.1196319,9.174312
0.515873,0.7411765,0.222,0.13672496,0.932,0.21825397,11.904762
0.39722222,0.36507937,0.097,0.07845579,0.96,0.13611111,22.222223
0.38790035,0.5974026,0.131,0.10198676,0.944,0.18149467,24.911032
0.3586006,0.6090909,0.143,0.15988372,0.931,0.119186044,34.985424
0.352459,0.6233766,0.18,0.12399356,0.939,0.10655738,24.590164
0.2715054,0.5471698,0.072,0.1488764,0.939,0.088709675,8.064516
0.46153846,0.6527778,0.103,0.09580053,0.952,0.08945687,28.846153
0.4784689,0.7011494,0.197,0.13109756,0.914,0.14832535,19.138756
0.4362416,0.5268817,0.119,0.13419913,0.945,0.11744966,20.134228
0.5555556,0.7431694,0.225,0.24764468,0.891,0.1421801,33.096928
0.35784313,0.5,0.163,0.084527224,0.945,0.12254902,53.92157
0.50678736,0.71014494,0.102,0.10582822,0.947,0.1,9.049774
0.48031497,0.6744186,0.202,0.12428571,0.919,0.22745098,15.748032
0.6372549,0.7352941,0.312,0.098981075,0.909,0.17961165,34.31373
0.5406977,0.7894737,0.195,0.08005618,0.94,0.14450867,11.627907
0.4775281,0.52380955,0.218,0.08467742,0.938,0.17318435,16.853931
0.6642857,0.754717,0.39,0.07539118,0.945,0.23021583,50
0.55944055,0.8076923,0.336,0.07386363,0.92,0.11188811,20.979021
0.52554744,0.5675676,0.179,0.049113233,0.949,0.17391305,80.29197
0.6075269,0.74757284,0.421,0.086251065,0.945,0.31382978,37.63441
0.42819148,0.52459013,0.055,0.20819113,0.909,0.112600535,26.595745
0.48031497,0.5714286,0.175,0.14606741,0.928,0.11904762,19.68504
0.43965518,0.4408602,0.063,0.10426009,0.96,0.09742121,17.241379
